Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base,Taker Buy Quote
2023-01-06,5.66100000,5.73000000,5.52300000,5.71200000,2697540.01000000,2023-01-06 23:59:59.999,15204458.96330000,47808,1341299.44000000,7567976.73196000
2023-01-07,5.71300000,5.84600000,5.69100000,5.83000000,1991098.15000000,2023-01-07 23:59:59.999,11501693.13655000,35511,984104.85000000,5684272.82797000
2023-01-08,5.83200000,5.97700000,5.75500000,5.96300000,2333904.16000000,2023-01-08 23:59:59.999,13630980.57620000,44493,1268762.83000000,7413395.95035000
2023-01-09,5.96500000,6.25500000,5.93100000,6.06500000,5682130.67000000,2023-01-09 23:59:59.999,34742722.98921000,95938,2876579.16000000,17586750.71455000
2023-01-10,6.06400000,6.30000000,5.96800000,6.16600000,3453264.89000000,2023-01-10 23:59:59.999,21181878.72951000,60673,1767011.35000000,10845486.52390000
2023-01-11,6.16700000,6.30500000,6.01000000,6.28400000,3599580.10000000,2023-01-11 23:59:59.999,22079870.24658000,59606,1854747.74000000,11387582.90169000
2023-01-12,6.28400000,6.41200000,6.05000000,6.38700000,5862705.97000000,2023-01-12 23:59:59.999,36912811.99152000,108371,2981390.70000000,18782385.99240000
2023-01-13,6.38600000,6.61800000,6.26000000,6.60500000,4441199.22000000,2023-01-13 23:59:59.999,28529776.55137000,79520,2358374.87000000,15151807.71371000
2023-01-14,6.60400000,7.10700000,6.45000000,6.85600000,10425339.64000000,2023-01-14 23:59:59.999,70949747.81748000,189448,5173000.59000000,35224944.30056000
2023-01-15,6.85700000,6.92600000,6.60000000,6.69400000,5652541.29000000,2023-01-15 23:59:59.999,38136470.35041000,107288,2609736.48000000,17617124.98791000
2023-01-16,6.69400000,6.94800000,6.41300000,6.66900000,7143088.32000000,2023-01-16 23:59:59.999,47802567.24800000,146344,3454893.55000000,23128586.14464000
2023-01-17,6.67000000,6.99500000,6.54300000,6.80400000,6038879.49000000,2023-01-17 23:59:59.999,40872760.76221000,120105,3050985.55000000,20659900.91095000
