date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base,Taker Buy Quote,SMA_5,SMA_20,EMA_12,RSI,MACD,Price_Change,Volatility,High_Low_Ratio,Volume_SMA,Upper_Shadow,Lower_Shadow,Body_Size,Support,Resistance,Price_Position
2023-01-01,5.575,5.64,5.505,5.628,1468070.67,8172481.03839,26670,734392.41,4088728.3719,5.5908000000000015,5.976049999999995,5.801403770515741,38.27611395178964,-0.29444674980285956,0.00950672645739914,0.029269136546414897,1.0245231607629428,2334809.9119999977,0.011999999999999567,0.07000000000000028,0.052999999999999936,5.387,7.101,0.14060676779463271
2023-01-02,5.63,5.76,5.548,5.691,2634300.76,14951181.60487,48511,1297358.83,7361706.60682,5.594000000000002,5.9142999999999954,5.784418377067712,46.111547525530234,-0.2812823480678297,0.011194029850746245,0.027984536259807888,1.0382119682768565,2375519.496999998,0.06899999999999995,0.08199999999999985,0.06099999999999994,5.387,6.965,0.19264892268694564
2023-01-03,5.691,5.724,5.567,5.621,2144096.39,12105562.07781,38441,926286.73,5233873.97765,5.598000000000002,5.859449999999995,5.75927684031998,32.500000000000014,-0.27331954213407705,-0.012300123001229957,0.027574028482018825,1.0282019040776,2484815.769999998,0.03300000000000036,0.05400000000000027,0.0699999999999994,5.387,6.732,0.1739776951672868
2023-01-04,5.621,5.895,5.61,5.809,3831647.37,22133875.52122,58805,2022892.79,11690319.23101,5.664800000000001,5.827099999999995,5.7669266210352115,42.99065420560749,-0.24903095333666148,0.03344600604874581,0.028110227735288394,1.050802139037433,2695171.458999998,0.08599999999999941,0.01100000000000012,0.18799999999999972,5.387,6.543,0.36505190311418717
2023-01-05,5.809,5.818,5.606,5.66,2841645.64,16251716.14117,47281,1244968.77,7117747.67998,5.681800000000002,5.815449999999995,5.750476255479406,37.82639378969655,-0.2390019354927162,-0.025649853675331347,0.021123760348151756,1.037816625044595,2801433.103999998,0.008999999999999453,0.05400000000000027,0.14900000000000002,5.387,6.12,0.37244201909959124
2023-01-06,5.661,5.73,5.523,5.712,2697540.01,15204458.9633,47808,1341299.44,7567976.73196,5.698600000000002,5.799549999999995,5.744556796189583,41.85053380782917,-0.2242865281147477,0.009187279151943395,0.020470000039623022,1.0374796306355243,2822825.3849999984,0.018000000000000682,0.1379999999999999,0.051000000000000156,5.387,6.12,0.44338335607094126
2023-01-07,5.713,5.846,5.691,5.83,1991098.15,11501693.13655,35511,984104.85,5684272.82797,5.726400000000002,5.793599999999995,5.757701970929229,47.12950600801067,-0.20081917945468586,0.020658263305322278,0.0209265555696584,1.0272359866455807,2690633.3589999983,0.016000000000000014,0.02200000000000024,0.11699999999999999,5.387,6.12,0.6043656207366987
2023-01-08,5.832,5.977,5.755,5.963,2333904.16,13630980.5762,44493,1268762.83,7413395.95035,5.7948,5.802249999999995,5.789286418215293,49.13294797687861,-0.16956761808368093,0.022813036020583155,0.02062613370748706,1.038575152041703,2567148.737999998,0.014000000000000234,0.07699999999999996,0.13100000000000023,5.387,6.12,0.78581173260573
2023-01-09,5.965,6.255,5.931,6.065,5682130.67,34742722.98921,95938,2876579.16,17586750.71455,5.846,5.804849999999994,5.831704045884787,50.53091817613993,-0.13503720952240972,0.017105483816870715,0.019113707552096112,1.054628224582701,2793677.163999998,0.1899999999999995,0.03399999999999981,0.10000000000000053,5.387,6.255,0.7811059907834108
2023-01-10,6.064,6.3,5.968,6.166,3453264.89,21181878.72951,60673,1767011.35,10845486.5239,5.9472000000000005,5.813699999999994,5.8831343502035995,58.445728965960214,-0.09840948312382469,0.01665292662819451,0.01940760855781903,1.0556300268096515,2907769.8709999984,0.13399999999999945,0.09600000000000009,0.10200000000000031,5.387,6.3,0.8532311062431551
2023-01-11,6.167,6.305,6.01,6.284,3599580.1,22079870.24658,59606,1854747.74,11387582.90169,6.0616,5.827649999999994,5.944806148473731,71.0435383552177,-0.059201805157375276,0.01913720402205632,0.019799096157961972,1.0490848585690515,3120920.8139999984,0.020999999999999908,0.15700000000000003,0.11699999999999999,5.387,6.305,0.977124183006536
